../jeu_100_25_4.txt_3_currentFirst	../jeu_100_25_4.txt_3_bestFirst	../jeu_100_25_4.txt_3_currentBest	../jeu_100_25_4.txt_3_bestBest	../jeu_100_75_2.txt_3_currentFirst	../jeu_100_75_2.txt_3_bestFirst	../jeu_100_75_2.txt_3_currentBest	../jeu_100_75_2.txt_3_bestBest	../jeu_200_25_8.txt_3_currentFirst	../jeu_200_25_8.txt_3_bestFirst	../jeu_200_25_8.txt_3_currentBest	../jeu_200_25_8.txt_3_bestBest	../jeu_200_75_5.txt_3_currentFirst	../jeu_200_75_5.txt_3_bestFirst	../jeu_200_75_5.txt_3_currentBest	../jeu_200_75_5.txt_3_bestBest	
18501.7	18946.7	37635.5	47815.5	44945.3	47006.3	121578	121578	57707.7	60455.7	124008	124008	12163	181296	390682	390682	
18786.7	18946.7	37888.5	47815.5	0	47006.3	122774	122774	57713.7	60455.7	124008	124008	14156	181296	390682	390682	
18946.7	18946.7	38467.5	47815.5	0	47006.3	125094	125094	57751.7	60455.7	124008	124008	14980	181296	390682	390682	
19481.7	19481.7	38913.5	47815.5	41	47006.3	126312	126312	57912.7	60455.7	124008	124008	17132	181296	390682	390682	
19569.7	19569.7	0	47815.5	50	47006.3	127590	127590	58054.7	60455.7	124008	124008	17235	181296	390682	390682	
0	19569.7	0	47815.5	90	47006.3	128302	128302	58697.7	60455.7	124008	124008	18967	181296	390682	390682	
0	19569.7	21709.5	47815.5	93	47006.3	128614	128614	58721.7	60455.7	124008	124008	19348	181296	390682	390682	
49	19569.7	24534.5	47815.5	131	47006.3	129709	129709	58767.7	60455.7	124008	124008	21368	181296	390682	390682	
87	19569.7	26881.5	47815.5	177	47006.3	130622	130622	0	60455.7	124008	124008	23132	181296	390682	390682	
12699.7	19569.7	29717.5	47815.5	33937.3	47006.3	131902	131902	0	60455.7	124008	124008	24838	181296	390682	390682	
13100.7	19569.7	31093.5	47815.5	34143.3	47006.3	132967	132967	45106.7	60455.7	124008	124008	27346	181296	390682	390682	
13279.7	19569.7	32474.5	47815.5	35073.3	47006.3	134068	134068	45685.7	60455.7	124008	124008	29077	181296	390682	390682	
13730.7	19569.7	32775.5	47815.5	35106.3	47006.3	134967	134967	45889.7	60455.7	124008	124008	29214	181296	390682	390682	
13846.7	19569.7	33129.5	47815.5	35457.3	47006.3	134967	134967	46193.7	60455.7	124008	124008	31447	181296	390682	390682	
13922.7	19569.7	33723.5	47815.5	35602.3	47006.3	134967	134967	46616.7	60455.7	124008	124008	31704	181296	390682	390682	
14265.7	19569.7	34064.5	47815.5	36709.3	47006.3	134967	134967	47281.7	60455.7	124008	124008	33252	181296	390682	390682	
14363.7	19569.7	34628.5	47815.5	37574.3	47006.3	134967	134967	47634.7	60455.7	124008	124008	35388	181296	390682	390682	
14503.7	19569.7	34768.5	47815.5	37770.3	47006.3	134967	134967	48291.7	60455.7	124008	124008	35698	181296	390682	390682	
14616.7	19569.7	35096.5	47815.5	38972.3	47006.3	134967	134967	48638.7	60455.7	124008	124008	36320	181296	390682	390682	
15051.7	19569.7	35284.5	47815.5	39805.3	47006.3	134967	134967	48794.7	60455.7	124008	124008	36340	181296	390682	390682	
15225.7	19569.7	35738.5	47815.5	40004.3	47006.3	134967	134967	49083.7	60455.7	124008	124008	38205	181296	390682	390682	
15368.7	19569.7	35929.5	47815.5	40860.3	47006.3	134967	134967	49153.7	60455.7	124008	124008	41135	181296	390682	390682	
15567.7	19569.7	36225.5	47815.5	42001.3	47006.3	134967	134967	49229.7	60455.7	124008	124008	41394	181296	390682	390682	
15947.7	19569.7	36812.5	47815.5	42210.3	47006.3	134967	134967	49255.7	60455.7	124008	124008	43060	181296	390682	390682	
16502.7	19569.7	37188.5	47815.5	43176.3	47006.3	134967	134967	49789.7	60455.7	124008	124008	43821	181296	390682	390682	
16597.7	19569.7	37800.5	47815.5	44045.3	47006.3	134967	134967	50008.7	60455.7	124008	124008	45986	181296	390682	390682	
16756.7	19569.7	38085.5	47815.5	45506.3	47006.3	134967	134967	51012.7	60455.7	124008	124008	46212	181296	390682	390682	
16873.7	19569.7	38736.5	47815.5	46225.3	47006.3	134967	134967	51705.7	60455.7	124008	124008	48455	181296	390682	390682	
16960.7	19569.7	39239.5	47815.5	46225.3	47006.3	134967	134967	52094.7	60455.7	124008	124008	50663	181296	390682	390682	
16985.7	19569.7	39759.5	47815.5	46225.3	47006.3	134967	134967	52278.7	60455.7	124008	124008	0	181296	390682	390682	
17380.7	19569.7	40257.5	47815.5	46225.3	47006.3	134967	134967	52613.7	60455.7	124008	124008	0	181296	390682	390682	
17505.7	19569.7	40620.5	47815.5	46225.3	47006.3	134967	134967	52964.7	60455.7	124008	124008	4	181296	390682	390682	
17576.7	19569.7	41271.5	47815.5	46225.3	47006.3	134967	134967	53889.7	60455.7	124008	124008	146583	181296	390682	390682	
17638.7	19569.7	41824.5	47815.5	46225.3	47006.3	134967	134967	53894.7	60455.7	124008	124008	146598	181296	390682	390682	
17976.7	19569.7	42186.5	47815.5	46225.3	47006.3	134967	134967	53955.7	60455.7	124008	124008	146923	181296	390682	390682	
18328.7	19569.7	42613.5	47815.5	46225.3	47006.3	134967	134967	53979.7	60455.7	124008	124008	147360	181296	390682	390682	
18974.7	19569.7	43202.5	47815.5	46225.3	47006.3	134967	134967	54421.7	60455.7	124008	124008	147896	181296	390682	390682	
19318.7	19569.7	43327.5	47815.5	46225.3	47006.3	134967	134967	54513.7	60455.7	124008	124008	148282	181296	390682	390682	
19414.7	19569.7	43690.5	47815.5	46225.3	47006.3	134967	134967	54964.7	60455.7	124008	124008	149907	181296	390682	390682	
19500.7	19569.7	44101.5	47815.5	46225.3	47006.3	134967	134967	55606.7	60455.7	124008	124008	150012	181296	390682	390682	
19500.7	19569.7	44756.5	47815.5	46225.3	47006.3	134967	134967	56086.7	60455.7	124008	124008	150773	181296	390682	390682	
19500.7	19569.7	45110.5	47815.5	46225.3	47006.3	134967	134967	56567.7	60455.7	124008	124008	152573	181296	390682	390682	
19500.7	19569.7	45444.5	47815.5	46225.3	47006.3	134967	134967	56597.7	60455.7	124008	124008	152707	181296	390682	390682	
19500.7	19569.7	45444.5	47815.5	46225.3	47006.3	134967	134967	57110.7	60455.7	124008	124008	154293	181296	390682	390682	
19500.7	19569.7	45444.5	47815.5	46225.3	47006.3	134967	134967	57355.7	60455.7	124008	124008	154502	181296	390682	390682	
19500.7	19569.7	45444.5	47815.5	46225.3	47006.3	134967	134967	57894.7	60455.7	124008	124008	157105	181296	390682	390682	
19500.7	19569.7	45444.5	47815.5	46225.3	47006.3	134967	134967	58422.7	60455.7	124008	124008	159180	181296	390682	390682	
19500.7	19569.7	45444.5	47815.5	46225.3	47006.3	134967	134967	0	60455.7	124008	124008	161146	181296	390682	390682	
19500.7	19569.7	45444.5	47815.5	46225.3	47006.3	134967	134967	0	60455.7	124008	124008	162980	181296	390682	390682	
19500.7	19569.7	45444.5	47815.5	46225.3	47006.3	134967	134967	39	60455.7	124008	124008	164726	181296	390682	390682	
19500.7	19569.7	45444.5	47815.5	46225.3	47006.3	134967	134967	85	60455.7	124008	124008	164953	181296	390682	390682	
19500.7	19569.7	45444.5	47815.5	46225.3	47006.3	134967	134967	125	60455.7	124008	124008	167220	181296	390682	390682	
19500.7	19569.7	45444.5	47815.5	46225.3	47006.3	134967	134967	129	60455.7	124008	124008	168987	181296	390682	390682	
19500.7	19569.7	45444.5	47815.5	46225.3	47006.3	134967	134967	163	60455.7	124008	124008	171227	181296	390682	390682	
19500.7	19569.7	45444.5	47815.5	46225.3	47006.3	134967	134967	167	60455.7	124008	124008	171492	181296	390682	390682	
19500.7	19569.7	45444.5	47815.5	46225.3	47006.3	134967	134967	186	60455.7	124008	124008	171578	181296	390682	390682	
19500.7	19569.7	45444.5	47815.5	46225.3	47006.3	134967	134967	198	60455.7	124008	124008	171621	181296	390682	390682	
19500.7	19569.7	45444.5	47815.5	46225.3	47006.3	134967	134967	215	60455.7	124008	124008	171673	181296	390682	390682	
19500.7	19569.7	45444.5	47815.5	46225.3	47006.3	134967	134967	46220.7	60455.7	124008	124008	173777	181296	390682	390682	
19500.7	19569.7	45444.5	47815.5	46225.3	47006.3	134967	134967	46889.7	60455.7	124008	124008	0	181296	390682	390682	
19500.7	19569.7	45444.5	47815.5	46225.3	47006.3	134967	134967	47411.7	60455.7	124008	124008	0	181296	390682	390682	
19500.7	19569.7	45444.5	47815.5	46225.3	47006.3	134967	134967	48259.7	60455.7	124008	124008	1808	181296	390682	390682	
19500.7	19569.7	45444.5	47815.5	46225.3	47006.3	134967	134967	48276.7	60455.7	124008	124008	1842	181296	390682	390682	
19500.7	19569.7	45444.5	47815.5	46225.3	47006.3	134967	134967	48329.7	60455.7	124008	124008	1856	181296	390682	390682	
19500.7	19569.7	45444.5	47815.5	46225.3	47006.3	134967	134967	48440.7	60455.7	124008	124008	2171	181296	390682	390682	
19500.7	19569.7	45444.5	47815.5	46225.3	47006.3	134967	134967	49125.7	60455.7	124008	124008	2671	181296	390682	390682	
19500.7	19569.7	45444.5	47815.5	46225.3	47006.3	134967	134967	49483.7	60455.7	124008	124008	2699	181296	390682	390682	
19500.7	19569.7	45444.5	47815.5	46225.3	47006.3	134967	134967	49565.7	60455.7	124008	124008	4349	181296	390682	390682	
19500.7	19569.7	45444.5	47815.5	46225.3	47006.3	134967	134967	49587.7	60455.7	124008	124008	6551	181296	390682	390682	
19500.7	19569.7	45444.5	47815.5	46225.3	47006.3	134967	134967	49694.7	60455.7	124008	124008	8108	181296	390682	390682	
19500.7	19569.7	45444.5	47815.5	46225.3	47006.3	134967	134967	49964.7	60455.7	124008	124008	9695	181296	390682	390682	
19500.7	19569.7	45444.5	47815.5	46225.3	47006.3	134967	134967	49983.7	60455.7	124008	124008	11835	181296	390682	390682	
